[DEBUG][2016-10-10 15:36:12,164][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Resolved location pattern [classpath*:com/xbgy/*/service/**/*.class] to resources [file [D:\work\xbgy\xbgy\target\classes\com\xbgy\core\service\BaseService.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\core\service\BaseServiceImpl.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\AccountSerivce.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\impl\AccountSerivceImpl.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\impl\UrlServiceImpl.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\UrlService.class]]
[DEBUG][2016-10-10 15:36:12,166][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\impl\AccountSerivceImpl.class]
[DEBUG][2016-10-10 15:36:12,167][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\service\impl\UrlServiceImpl.class]
[DEBUG][2016-10-10 15:36:12,168][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loaded 11 bean definitions from location pattern [classpath:spring.xml]
[INFO][2016-10-10 15:36:12,168][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring-mybatis.xml]
[DEBUG][2016-10-10 15:36:12,169][org.springframework.beans.factory.xml.DefaultDocumentLoader]Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
[DEBUG][2016-10-10 15:36:12,173][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/beans/spring-beans-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
[DEBUG][2016-10-10 15:36:12,206][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/tx/spring-tx-4.0.xsd] in classpath: org/springframework/transaction/config/spring-tx-4.0.xsd
[DEBUG][2016-10-10 15:36:12,211][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.0.xsd
[DEBUG][2016-10-10 15:36:12,222][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/aop/spring-aop-4.0.xsd] in classpath: org/springframework/aop/config/spring-aop-4.0.xsd
[DEBUG][2016-10-10 15:36:12,238][org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader]Loading bean definitions
[DEBUG][2016-10-10 15:36:12,239][org.springframework.beans.factory.xml.BeanDefinitionParserDelegate]No XML 'id' specified - using 'dataSource' as bean name and [] as aliases
[DEBUG][2016-10-10 15:36:12,276][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loaded 7 bean definitions from location pattern [classpath:spring-mybatis.xml]
[INFO][2016-10-10 15:36:12,279][org.springframework.context.support.GenericApplicationContext]Refreshing org.springframework.context.support.GenericApplicationContext@738b19ed: startup date [Mon Oct 10 15:36:12 GMT+08:00 2016]; root of context hierarchy
